"bookings","users","user_share"
0,384801,0.32099223714658
1,315681,0.26333390613503993
2,168059,0.1401909932214757
3,95501,0.0796647608497263
4,60309,0.050308395326605415
5,39557,0.03299754918726111
6,27786,0.023178448864100847
7,20257,0.016897928404235617
8,15288,0.012752901685538536
9,11585,0.009663943356028515
10,9136,0.00762104328879383
11,7389,0.006163735645895097
12,5881,0.004905796363988235
13,4890,0.004079126716528221
14,4004,0.003340045679545807
15,3322,0.00277113680006273
16,2866,0.0023907519774171537
17,2442,0.002037060826536179
18,2056,0.0017150684108756691
19,1765,0.001472322833266321
20,1525,0.0012721202950318072
21,1376,0.0011478278858778799
22,1227,0.0010235354767239523
23,1100,0.0009175949669081888
24,967,0.0008066493936365624
25,819,0.0006831911617252788
26,720,0.0006006076147035417
27,671,0.0005597329298139952
28,632,0.0005272000173508867
29,595,0.0004963354593730657
30,465,0.0003878924178293707
31,462,0.00038538988610143927
32,425,0.0003545253281236184
33,372,0.0003103139342634966
34,361,0.00030113798459441467
35,314,0.0002619316541901557
36,278,0.00023190127345497862
37,255,0.00021271519687417103
38,248,0.0002068759561756644
39,223,0.0001860215251095692
40,209,0.00017434304371255588
41,197,0.00016433291680083018
42,190,0.00015849367610232352
43,153,0.00012762911812450262
44,164,0.0001368050677935845
45,119,0.00009926709187461315
46,118,0.00009843291463196935
47,126,0.0001051063325731198
48,107,0.00008925696496288746
49,108,0.00009009114220553126
50,94,0.00007841266080851795
51,77,0.00006423164768357321
52,96,0.00008008101529380556
53,75,0.0000625632931982856
54,87,0.0000725734201100113
55,65,0.00005422152077184752
56,64,0.00005338734352920371
57,61,0.000050884811801272285
58,58,0.00004838228007334086
59,53,0.000044211393860121825
60,60,0.00005005063455862848
61,38,0.0000316987352204647
62,50,0.0000417088621321904
63,43,0.000035869621433683746
64,44,0.00003670379867632755
65,33,0.000027527849007245664
66,38,0.0000316987352204647
67,33,0.000027527849007245664
68,32,0.000026693671764601855
69,27,0.000022522785551382815
70,42,0.00003503544419103993
71,25,0.0000208544310660952
72,31,0.00002585949452195805
73,32,0.000026693671764601855
74,28,0.000023356962794026624
75,23,0.000019186076580807585
76,31,0.00002585949452195805
77,17,0.000014181013124944737
78,16,0.000013346835882300927
79,16,0.000013346835882300927
80,20,0.00001668354485287616
81,23,0.000019186076580807585
82,19,0.00001584936761023235
83,23,0.000019186076580807585
84,18,0.000015015190367588544
85,21,0.000017517722095519967
86,17,0.000014181013124944737
87,16,0.000013346835882300927
88,11,0.000009175949669081888
89,12,0.000010010126911725695
90,12,0.000010010126911725695
91,13,0.000010844304154369503
92,12,0.000010010126911725695
93,11,0.000009175949669081888
94,12,0.000010010126911725695
95,8,0.000006673417941150464
96,9,0.000007507595183794272
97,11,0.000009175949669081888
98,9,0.000007507595183794272
99,10,0.00000834177242643808
100,9,0.000007507595183794272
