year_month,is_package,lead_time_bucket,stay_length_bucket,party_segment,channel,is_mobile,users,events,weighted_events,bookings,weighted_bookings,booking_row_rate,booking_weighted_event_rate,booking_value_proxy_total
2014/09/01,"0",8_30,"1",solo,"0","0","1885","5461","6945","802","804",0.146859549533053,0.115766738660907,"802"
2014/09/01,"0",31_90,2_3,group,"1","0","565","2371","3198","103","104",0.0434415858287642,0.032520325203252,"103"
2014/09/01,"0",8_30,2_3,couple,"1","0","3735","13110","17121","795","804",0.0606407322654462,0.0469598738391449,"795"
2014/09/01,"0",91_plus,4_7,couple,"9","0","6599","25542","31280","896","914",0.0350794769399421,0.0292199488491049,"896"
2014/09/01,"0",same_next_day,"1",couple,"1","0","1305","3536","4796","498","501",0.140837104072398,0.104462051709758,"498"
2014/09/01,"1",31_90,4_7,couple,"5","0","808","2333","4331","98","100",0.0420060008572653,0.023089355806973,"196"
2014/09/01,"0",2_7,2_3,group,"9","0","1378","4571","6190","423","427",0.0925399256180267,0.0689822294022617,"423"
2014/09/01,"1",8_30,2_3,solo,"2","0","514","1226","2131","94","95",0.0766721044045677,0.0445800093852651,"188"
2014/09/01,"0",2_7,"1",solo,"0","0","1794","4965","6477","913","922",0.183887210473313,0.142349853327158,"913"
2014/09/01,"0",91_plus,8_14,couple,"9","0","1437","4914","6004","82","84",0.0166870166870167,0.0139906728847435,"82"
2014/09/01,"1",31_90,2_3,couple,"9","0","6587","21347","40223","852","865",0.0399119314189347,0.0215051090172289,"1704"
2014/09/01,"1",91_plus,4_7,family_with_children,"9","0","3876","16397","31598","289","295",0.0176251753369519,0.00933603392619786,"578"
2014/09/01,"0",31_90,4_7,couple,"9","0","7883","31074","39127","1366","1403",0.0439595803565682,0.0358575919441818,"1366"
2014/09/01,"1",31_90,8_14,couple,"9","0","1389","5543","10751","151","154",0.0272415659390222,0.0143242489070784,"302"
2014/09/01,"0",8_30,"1",couple,"5","0","1896","5694","7622","698","726",0.122585177379698,0.0952505903962215,"698"
2014/09/01,"0",91_plus,4_7,couple,"0","0","2277","7778","9810","222","229",0.0285420416559527,0.0233435270132518,"222"
2014/09/01,"1",8_30,4_7,couple,"9","0","4489","16419","30789","620","627",0.03776113039771,0.0203644158628081,"1240"
2014/09/01,"1",91_plus,4_7,couple,"1","0","2274","8107","15844","167","169",0.020599481929197,0.0106664983590003,"334"
2014/09/01,"0",2_7,2_3,solo,"9","0","6818","21206","26788","3268","3313",0.154107328114685,0.123674779752128,"3268"
2014/09/01,"0",8_30,2_3,solo,"9","0","9927","33026","40993","4195","4245",0.127021134863441,0.103554265362379,"4195"
2014/09/01,"0",8_30,2_3,couple,"5","0","2745","10169","13883","894","932",0.0879142491887108,0.0671324641648059,"894"
2014/09/01,"0",8_30,"1",family_with_children,"9","1","499","1625","2252","159","161",0.0978461538461538,0.0714920071047957,"159"
2014/09/01,"1",91_plus,4_7,couple,"9","0","8845","35930","67741","607","616",0.0168939604787086,0.00909345890967066,"1214"
2014/09/01,"1",8_30,2_3,couple,"9","0","4835","15291","27888","694","697",0.045386174874109,0.0249928284566839,"1388"
2014/09/01,"1",31_90,2_3,couple,"0","0","1784","5200","9854","244","247",0.0469230769230769,0.025065963060686,"488"
2014/09/01,"0",91_plus,2_3,solo,"1","0","409","1723","2244","101","103",0.0586186883343006,0.0459001782531194,"101"
2014/09/01,"0",8_30,"1",couple,"1","0","3151","10025","13082","953","979",0.0950623441396509,0.0748356520409723,"953"
2014/09/01,"0",8_30,4_7,couple,"3","0","1593","4900","6705","219","225",0.0446938775510204,0.0335570469798658,"219"
2014/09/01,"0",8_30,"1",couple,"3","0","2546","7378","9962","708","723",0.0959609650311738,0.0725757879943786,"708"
2014/09/01,"1",31_90,4_7,solo,"0","0","632","1853","3282","107","107",0.0577441985968699,0.0326020719073736,"214"
2014/09/01,"1",8_30,2_3,solo,"9","1","438","1264","2146","54","54",0.0427215189873418,0.0251630941286114,"108"
2014/09/01,"0",91_plus,8_14,group,"5","0","194","579","762","12","12",0.0207253886010363,0.015748031496063,"12"
2014/09/01,"0",91_plus,8_14,couple,"5","0","628","1984","2675","77","80",0.0388104838709677,0.0299065420560748,"77"
2014/09/01,"0",8_30,"1",family_with_children,"5","0","333","1091","1611","132","135",0.120989917506874,0.0837988826815642,"132"
2014/09/01,"0",91_plus,"1",couple,"9","0","3598","13304","16560","1178","1197",0.088544798556825,0.0722826086956522,"1178"
2014/09/01,"1",31_90,8_14,solo,"0","0","120","318","564","16","16",0.050314465408805,0.0283687943262411,"32"
2014/09/01,"0",8_30,"1",couple,"0","0","5218","14781","19346","1415","1438",0.0957310060212435,0.0743306109790138,"1415"
2014/09/01,"0",8_30,"1",group,"9","0","2751","10564","13653","1235","1241",0.116906474820144,0.0908957738226031,"1235"
2014/09/01,"0",8_30,2_3,couple,"2","0","4610","14925","19204","801","814",0.0536683417085427,0.0423870027077692,"801"
2014/09/01,"0",8_30,"1",group,"0","0","744","2395","3198","255","259",0.106471816283925,0.0809881175734834,"255"
2014/09/01,"0",8_30,2_3,family_with_children,"2","0","710","2565","3374","152","156",0.0592592592592593,0.046235921754594,"152"
2014/09/01,"0",31_90,"1",couple,"1","0","1891","5915","7523","499","508",0.0843617920540997,0.067526252824671,"499"
2014/09/01,"0",same_next_day,2_3,couple,"9","0","3704","11373","14788","1498","1510",0.131715466455641,0.102109818771977,"1498"
2014/09/01,"1",31_90,4_7,couple,"9","1","2214","8612","15502","140","140",0.016256386437529,0.00903109276222423,"280"
2014/09/01,"0",8_30,2_3,group,"2","0","584","1971","2579","112","112",0.0568239472349061,0.0434276851492827,"112"
2014/09/01,"0",31_90,2_3,group,"9","0","2887","11491","14984","757","767",0.0658776433730746,0.0511879337960491,"757"
2014/09/01,"0",8_30,2_3,couple,"0","0","5313","18099","23651","1238","1257",0.0684015691474667,0.0531478584415035,"1238"
2014/09/01,"1",91_plus,4_7,group,"5","0","282","806","1386","19","22",0.0235732009925558,0.0158730158730159,"38"
2014/09/01,"0",91_plus,8_14,couple,"0","0","499","1432","1841","28","30",0.0195530726256983,0.0162954915806627,"28"
2014/09/01,"0",8_30,4_7,couple,"5","0","1725","5672","7652","406","417",0.0715796897038082,0.0544955567171981,"406"
2014/09/01,"0",same_next_day,4_7,couple,"9","0","881","2464","3226","269","271",0.109172077922078,0.0840049597024179,"269"
2014/09/01,"0",same_next_day,4_7,couple,"5","0","180","490","739","56","58",0.114285714285714,0.0784844384303112,"56"
2014/09/01,"1",91_plus,2_3,couple,"5","0","389","842","1290","20","20",0.0237529691211401,0.0155038759689922,"40"
2014/09/01,"0",31_90,4_7,family_with_children,"9","0","2203","9284","12116","366","373",0.0394226626454115,0.0307857378672829,"366"
2014/09/01,"0",31_90,"1",couple,"0","0","2644","8223","10815","788","800",0.0958287729539098,0.0739713361072584,"788"
2014/09/01,"0",8_30,2_3,couple,"9","0","16941","66321","83563","5102","5168",0.0769288762232174,0.0618455536541292,"5102"
2014/09/01,"0",2_7,"1",couple,"2","1","803","2069","2847","115","118",0.055582406959884,0.0414471373375483,"115"
2014/09/01,"0",same_next_day,2_3,couple,"2","0","484","1244","1625","114","114",0.0916398713826367,0.0701538461538461,"114"
