cohort_month,months_since_first_booking,cohort_users,returned_bookers,booking_retention_rate,bookings,booking_value_proxy_total
2014-06-01,0,36761,36761,1.0,49424,58015
2013-05-01,3,33976,3717,0.10940075347303979,5437,6031
2014-09-01,0,39480,39480,1.0,53745,63672
2014-12-01,0,36081,36081,1.0,51151,57809
2014-04-01,7,33832,3508,0.10368881532277134,5322,5802
2014-04-01,3,33832,4076,0.12047765429179474,6505,6970
2014-06-01,1,36761,5391,0.1466499823182177,8641,9175
2013-09-01,15,25430,2736,0.107589461266221,4098,4449
2013-09-01,10,25430,3218,0.12654345261502162,5068,5547
2013-05-01,9,33976,3099,0.09121144337179185,4645,5343
2013-07-01,14,31600,3834,0.12132911392405063,6075,6695
2014-04-01,4,33832,3884,0.11480255379522346,6044,6587
2014-06-01,4,36761,3756,0.10217349908870814,5741,6255
2013-07-01,10,31600,3657,0.11572784810126582,5800,6419
2014-06-01,3,36761,3914,0.1064715323304589,5930,6504
2013-05-01,12,33976,4649,0.13683188132799623,7410,8179
2013-09-01,13,25430,3334,0.13110499410145499,5431,5983
2014-04-01,1,33832,4508,0.13324663040908016,7422,7896
2013-05-01,18,33976,4192,0.12338121026607017,6460,7052
2013-09-01,1,25430,2897,0.11392056626032246,4483,4900
2013-09-01,12,25430,3595,0.14136846244593002,5797,6441
2013-05-01,19,33976,4240,0.12479397221568166,6444,7041
2014-01-01,8,26143,2804,0.10725624450139616,4475,5051
2013-05-01,0,33976,33976,1.0,45461,54466
2013-07-01,5,31600,2162,0.06841772151898734,3077,3481
2013-07-01,2,31600,2870,0.09082278481012658,4280,4724
2013-05-01,17,33976,4642,0.1366258535436779,7375,8090
2013-05-01,5,33976,3389,0.0997468801506946,5079,5729
2013-05-01,2,33976,3985,0.11728867435837062,6033,6590
2013-05-01,15,33976,4705,0.13848010360254298,7440,8214
2013-05-01,7,33976,2665,0.07843772074405463,3860,4348
2013-05-01,4,33976,3408,0.10030609842241582,5039,5602
2014-04-01,8,33832,3467,0.10247694490423268,5325,5771
2014-05-01,2,34312,4197,0.12231872231289345,6557,7041
2014-01-01,7,26143,2920,0.11169337872470642,4527,5055
2013-09-01,4,25430,2246,0.08832088084939048,3344,3877
2014-01-01,10,26143,2689,0.10285736143518341,3999,4496
2014-01-01,0,26143,26143,1.0,32409,43971
2014-01-01,9,26143,2913,0.11142562062502391,4565,5096
2014-01-01,3,26143,2606,0.09968251539609073,4046,4504
2014-01-01,11,26143,2772,0.1060322074742761,4207,4680
2013-07-01,6,31600,2694,0.08525316455696202,3917,4573
2013-07-01,12,31600,4602,0.14563291139240506,7463,8203
2013-08-01,14,29457,3546,0.12037885731744577,5546,6111
2013-08-01,13,29457,3770,0.1279831618970024,5941,6614
2014-05-01,7,34312,3426,0.0998484495220331,5253,5634
2013-08-01,8,29457,3131,0.10629052517228503,4676,5218
2013-08-01,4,29457,2030,0.06891401025223207,2778,3178
2013-08-01,10,29457,3363,0.11416641205825441,5120,5645
2013-08-01,16,29457,3314,0.11250297043147639,4978,5512
2014-04-01,0,33832,33832,1.0,44736,53329
2014-01-01,2,26143,2669,0.10209233829323337,4254,4755
2013-08-01,7,29457,3180,0.10795396679906304,4748,5303
2013-08-01,11,29457,3869,0.13134399293886004,6044,6642
2013-05-01,11,33976,4370,0.12862020249587944,7032,7771
2014-07-01,0,43992,43992,1.0,60137,70451
2013-02-01,1,43339,7763,0.17912273010452479,12638,13747
2013-04-01,1,35768,5179,0.14479422947886378,8267,8899
2013-03-01,0,43382,43382,1.0,57737,69873
2014-02-01,5,24531,2910,0.11862541274305981,4598,5043
2013-01-01,5,48648,8868,0.18228909718796252,15634,17028
2013-06-01,18,31977,3689,0.11536416799574695,5607,6071
2014-03-01,0,34504,34504,1.0,45045,55078
2013-10-01,14,24382,2744,0.11254203920925272,4128,4534
2014-10-01,1,38061,5204,0.13672788418591209,8741,9269
2014-11-01,1,35636,5378,0.15091480525311482,9277,9766
2014-10-01,0,38061,38061,1.0,51555,60061
2013-11-01,9,19920,2408,0.12088353413654618,3633,4061
2014-03-01,8,34504,3652,0.10584280083468584,5606,6117
2013-01-01,7,48648,8626,0.17731458641670778,15065,16473
