date_key,full_date,year,month,year_month,events_on_date,weighted_events_on_date,bookings_made_on_date,checkins_on_date,checkouts_on_date,booking_value_proxy_for_checkins,package_checkins,avg_stay_nights_for_checkins,avg_lead_days_for_checkins
2014-07-17,2014-07-17,2014,7,2014-07,94188,136352,6747,5866,5295,6584,718,2.3088987384930104,33.35151721786567
2014-07-18,2014-07-18,2014,7,2014-07,84413,121800,6194,7181,5940,7888,707,2.1680824397716196,33.659980498676696
2014-07-19,2014-07-19,2014,7,2014-07,69794,101330,4581,6415,5872,7055,640,2.1926734216679655,35.40433494464369
2014-07-20,2014-07-20,2014,7,2014-07,84308,121841,5352,5530,8139,6161,631,2.638336347197107,33.07850940665702
2014-07-22,2014-07-22,2014,7,2014-07,105298,150846,7288,5272,4931,5831,559,2.3086115326251897,30.431037753746917
2014-07-23,2014-07-23,2014,7,2014-07,102715,146138,7245,5617,5219,6206,589,2.3626491009435644,31.308226495726494
2014-03-28,2014-03-28,2014,3,2014-03,51440,73132,4505,4865,4139,5547,682,2.227338129496403,27.337512846865366
2014-03-29,2014-03-29,2014,3,2014-03,44574,64722,3268,4017,4031,4597,580,2.239980084640279,27.32445219123506
2014-03-30,2014-03-30,2014,3,2014-03,54859,79362,3988,3202,5650,3773,571,2.795752654590881,27.513429106808246
2014-04-02,2014-04-02,2014,4,2014-04,66188,95112,5392,3240,3022,3713,473,2.3614197530864196,23.712345679012344
2014-05-11,2014-05-11,2014,5,2014-05,52902,77067,4002,3510,6193,4015,505,2.803703703703704,30.616524216524216
2014-05-12,2014-05-12,2014,5,2014-05,68588,97695,5908,4111,3570,4673,562,2.4470931646801266,25.964720194647203
2014-05-13,2014-05-13,2014,5,2014-05,68906,99623,5885,3883,3402,4331,448,2.251609580221478,25.98892608807623
2014-05-14,2014-05-14,2014,5,2014-05,69104,99677,5598,4106,3737,4625,519,2.330004870920604,27.85115712545676
