year_month,lead_time_bucket,stay_length_bucket,party_segment,users,events,weighted_events,bookings,booking_row_rate,booking_weighted_event_rate,package_share,mobile_share,booking_value_proxy_total,sessions,booking_sessions,session_booking_rate
2014-08-01,31_90,8_14,couple,5539,24194,38746,659,0.02723815822104654,0.017240489340835184,0.47192716236722304,0.1462346036207324,970,9126,893,0.09785229015998247
2014-08-01,91_plus,4_7,couple,30174,140829,231035,3312,0.023517883390494855,0.014725041660354491,0.42844202898550726,0.18238431004977668,4731,52898,3935,0.07438844568792771
2014-08-01,31_90,2_3,group,8005,35195,50684,1968,0.05591703366955533,0.039164233288611794,0.133130081300813,0.13393948003977837,2230,12394,2299,0.1854929804744231
2014-08-01,31_90,1,couple,21926,80473,105504,7570,0.09406881811290743,0.07323892932969366,0.02391017173051519,0.12554521392268214,7751,31788,8251,0.2595633572417264
2014-08-01,8_30,2_3,couple,45508,189950,265450,11991,0.06312713872071597,0.045835373893388584,0.12200817279626386,0.1453750987101869,13454,70326,14187,0.20173193413531268
2014-08-01,same_next_day,1,couple,20736,65223,87779,9134,0.14004262300108858,0.10476309823534102,0.0021896211955331727,0.2864020360915628,9154,27656,10296,0.3722881110789702
2014-08-01,31_90,2_3,solo,14355,52931,73936,4194,0.07923523077213732,0.058226033326119885,0.20863137815927515,0.0856397952050783,5069,21024,4758,0.22631278538812785
2014-08-01,2_7,1,solo,13077,39279,51061,7011,0.17849232414267166,0.13912770999392882,0.06475538439594922,0.08668754296188803,7465,17066,7417,0.43460682057892885
2014-08-01,2_7,4_7,couple,8844,32418,48209,1780,0.05490776728977728,0.03742039868074426,0.24775280898876403,0.1433462890986489,2221,12828,2320,0.18085438104147178
2014-08-01,2_7,4_7,solo,4894,16289,23111,1772,0.10878506967892443,0.07749556488252347,0.19525959367945825,0.10098839707778255,2118,6895,2103,0.30500362581580853
2014-08-01,same_next_day,2_3,couple,10151,31933,44572,3156,0.09883192935208092,0.07141254599300009,0.03358681875792142,0.21376006012588858,3262,13115,3994,0.30453678993518873
2014-08-01,2_7,2_3,couple,24378,83938,115978,6365,0.07582977912268579,0.055605373432892444,0.07965435978004713,0.16327527460744837,6872,33703,7899,0.23437082752277244
2014-08-01,31_90,2_3,couple,42786,190620,273502,10697,0.056116881754275524,0.03974376787007042,0.15864261007759184,0.14953310250760676,12394,69374,12033,0.17345114884538876
2014-08-01,same_next_day,2_3,group,1496,5141,7248,527,0.1025092394475783,0.07312362030905077,0.018975332068311195,0.18420540750826686,537,1919,685,0.3569567483064096
2014-08-01,8_30,1,family_with_children,8817,36321,49896,3494,0.09619779191101567,0.07090748757415424,0.005437893531768746,0.1359544065416701,3513,12524,3607,0.28800702650910254
2014-08-01,31_90,1,solo,8021,26965,34878,3207,0.11893194882254775,0.09355467630024657,0.06922357343311505,0.07457815687001669,3429,11029,3420,0.3100915767521987
2014-08-01,91_plus,2_3,couple,20444,88544,127704,3978,0.044926816046259484,0.03193322057257408,0.1518350930115636,0.1511226057101554,4582,32664,4510,0.13807249571393584
2014-08-01,31_90,4_7,family_with_children,6275,30361,48544,980,0.032278251704489315,0.020620468029004614,0.36122448979591837,0.17548829089950924,1334,10560,1129,0.10691287878787879
2014-08-01,2_7,2_3,solo,11540,37384,51278,5087,0.13607425636635995,0.1005499434455322,0.15470807941812464,0.08827305799272415,5874,15783,5737,0.3634923652030666
2014-08-01,8_30,2_3,solo,18896,69609,96667,7234,0.10392334324584465,0.07582732473336298,0.20293060547414984,0.08441437170480828,8702,27792,8116,0.2920264824409902
2014-08-01,91_plus,1,couple,9034,33246,43896,2608,0.07844552728147747,0.061121742299981775,0.02799079754601227,0.11300607591890753,2681,13243,2790,0.21067733897153212
2014-08-01,same_next_day,1,solo,10789,32445,42716,6519,0.20092464170134072,0.15401723007772264,0.018100935726338394,0.16215133302511944,6637,14608,7003,0.479394852135816
2014-08-01,91_plus,8_14,family_with_children,3594,16952,27407,253,0.014924492685228882,0.009486627503922356,0.49407114624505927,0.1934285040113261,378,6129,331,0.054005547397617884
2014-08-01,8_30,2_3,group,7613,32594,46168,2104,0.06455175799226852,0.045962571478080055,0.09838403041825095,0.11480640608700989,2311,11343,2651,0.23371242175791238
2014-08-01,2_7,1,couple,27925,89554,118546,10083,0.11259128570471448,0.08617751758810925,0.009520975900029753,0.16472742702726847,10179,36841,11376,0.30878640644933636
2014-08-01,2_7,1,group,4530,15682,21211,1839,0.11726820558602219,0.08707745980858989,0.008700380641653072,0.1308506568039791,1855,5903,2112,0.35778417753684566
2014-08-01,91_plus,2_3,group,4531,19524,28760,943,0.048299528785085026,0.033310152990264255,0.176033934252386,0.14177422659291128,1109,6913,1105,0.15984377260234342
2014-08-01,91_plus,1,solo,2344,7860,10072,720,0.0916030534351145,0.0726767275615568,0.05416666666666667,0.07455470737913486,759,3178,746,0.23473882945248584
2014-08-01,8_30,4_7,family_with_children,5428,26872,41096,1059,0.039409050312593036,0.026304263188631497,0.2728989612842304,0.15424977671926168,1348,9137,1278,0.13987085476633468
2014-08-01,8_30,8_14,couple,3672,14389,21595,478,0.03321982069636528,0.022181060430655243,0.3786610878661088,0.1466397942873028,659,5709,723,0.12664214398318444
2014-08-01,2_7,2_3,group,3892,14151,20006,1126,0.07957034838527313,0.05668299510146956,0.046181172291296625,0.13143947424210303,1178,5221,1445,0.27676690289216627
2014-08-01,same_next_day,1,group,2849,9447,12992,1282,0.13570445644119827,0.09906096059113301,0.00234009360374415,0.2542606118344448,1285,3676,1552,0.42219804134929273
2014-08-01,91_plus,4_7,solo,5950,22414,34170,777,0.03466583385384135,0.023353819139596138,0.39510939510939513,0.12108503613812796,1084,8963,978,0.10911525158986947
2014-08-01,91_plus,4_7,group,6154,26963,43158,727,0.02696287505099581,0.017146299643171603,0.390646492434663,0.16849015317286653,1011,9839,892,0.09065961988006911
2014-08-01,91_plus,2_3,solo,4700,17385,24570,1027,0.05907391429393155,0.042735042735042736,0.1801363193768257,0.10388265746333046,1212,6831,1169,0.1711316059142146
2014-08-01,same_next_day,4_7,family_with_children,1016,3722,5816,206,0.055346587855991405,0.0359353507565337,0.1262135922330097,0.21708758731864589,232,1394,261,0.1872309899569584
2014-08-01,91_plus,1,group,1879,6880,9150,524,0.07616279069767441,0.057704918032786885,0.02099236641221374,0.1002906976744186,535,2642,598,0.22634367903103708
2014-08-01,same_next_day,8_14,family_with_children,146,512,758,17,0.033203125,0.022427440633245383,0.23529411764705882,0.142578125,21,194,27,0.13917525773195877
2014-08-01,31_90,8_14,solo,2062,7197,11025,274,0.03807141864665833,0.025124716553287983,0.4124087591240876,0.09003751563151313,387,2947,401,0.13607058025110283
2014-08-01,31_90,1,group,4143,16423,22214,1565,0.09529318638494794,0.07094625011254165,0.020447284345047924,0.0999208427205748,1597,5974,1716,0.2872447271509876
2014-08-01,31_90,8_14,group,638,2525,4105,80,0.031683168316831684,0.019732034104750305,0.4375,0.12554455445544555,115,958,105,0.10960334029227557
2014-08-01,8_30,8_14,solo,1887,6512,9633,391,0.060042997542997543,0.041316308522786255,0.2966751918158568,0.08307739557739557,507,2795,537,0.192128801431127
2014-08-01,same_next_day,2_3,solo,5590,16953,23460,2718,0.16032560608741817,0.11641091219096335,0.06475349521707138,0.1372028549519259,2894,7256,3138,0.4324696802646086
2014-08-01,2_7,4_7,group,1396,4902,7063,255,0.052019583843329255,0.03624522157723347,0.17254901960784313,0.12280701754385964,299,1931,366,0.18953909891248058
2014-08-01,8_30,8_14,group,420,1667,2598,60,0.035992801439712056,0.023094688221709007,0.23333333333333334,0.11277744451109778,74,604,88,0.1456953642384106
2014-08-01,2_7,8_14,family_with_children,528,2059,3182,60,0.029140359397765905,0.018856065367693273,0.2,0.14084507042253522,72,763,87,0.11402359108781127
